filename,width,height,class,xmin,ymin,xmax,ymax
tomatoleaflateblight_001.jpg,600,600,Tomato leaf late blight,69.0,11.0,487.0,583.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,575.0,864.0,927.0,1182.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,797.0,872.0,957.0,1006.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,977.0,897.0,1362.0,1146.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,393.0,814.0,593.0,1087.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,857.0,465.0,1335.0,742.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,428.0,601.0,552.0,722.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,569.0,473.0,824.0,691.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,664.0,493.0,866.0,743.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,558.0,409.0,861.0,536.0
tomatomoldleaf_002.jpg,1600,1200,Tomato mold leaf,505.0,33.0,923.0,454.0
tomatoleaflateblight_002.jpg,818,550,Tomato leaf late blight,87.0,79.0,798.0,459.0
tomatoleafyellowvirus_001.jpg,549,520,Tomato leaf yellow virus,236.0,181.0,325.0,318.0
tomatoleafyellowvirus_001.jpg,549,520,Tomato leaf yellow virus,276.0,127.0,383.0,185.0
tomatoleafyellowvirus_001.jpg,549,520,Tomato leaf yellow virus,414.0,117.0,513.0,182.0
tomatoleafyellowvirus_001.jpg,549,520,Tomato leaf yellow virus,343.0,196.0,407.0,319.0
tomatoleafmosaicvirus_001.jpg,640,456,Tomato leaf mosaic virus,148.0,22.0,546.0,197.0
tomatoleafmosaicvirus_001.jpg,640,456,Tomato leaf mosaic virus,193.0,161.0,607.0,424.0
tomatomoldleaf_003.jpg,200,150,Tomato mold leaf,1.0,3.0,200.0,150.0
tomatoleafbacterialspot_001.jpg,499,666,Tomato leaf bacterial spot,346.0,78.0,440.0,258.0
tomatoleafbacterialspot_001.jpg,499,666,Tomato leaf bacterial spot,82.0,14.0,186.0,278.0
tomatoleafbacterialspot_001.jpg,499,666,Tomato leaf bacterial spot,67.0,205.0,219.0,522.0
tomatoleafbacterialspot_001.jpg,499,666,Tomato leaf bacterial spot,186.0,202.0,353.0,551.0
tomatoleafbacterialspot_002.jpg,765,531,Tomato leaf bacterial spot,339.0,330.0,480.0,509.0
